,src_lang,tgt_lang,src_text,mt_text,ground_truth_text,ground_truth_classification,raw_output,prediction_hall,prediction_label,prompt_method,model,span_match_type,score_comet_qe
19,spa_Latn,eng_Latn,Cada vez que retoques el articulo de etnografia de America latina lo voy a revertir y como insistas solicitaré tu bloqueo por racista,"Every time you touch a piece of Latin America, I'm going to turn it upside down.","Every time you touch a piece of Latin America, I'm going to turn it upside down.",1_No_hallucination,"1.  Every time you touch a piece of Latin America, I'm going to turn it upside down. <<< >>>
2. 3_Partial_hallucination 


**Explanation:**

The translation introduces the phrase ""turn it upside down"" which is not present in the source sentence. This makes this a partial hallucination as there are more than just one or two words that appear unrelated to the original meaning of the sentences.","1.  Every time you touch a piece of Latin America, I'm going to turn it upside down. <<< >>>",partial_hallucination,one,gemma2,false_positive,1.7346017360687256
20,spa_Latn,eng_Latn,"Cordialmente, un abrazoteUruk (Mensajes), 16:55 20 dic 2010 (UTC)",A warm welcome from Mr. and Mrs. O'Brien.,<<<A warm welcome from Mr. and Mrs. O'Brien.>>>,4_Full_hallucination,"1.  Cordialmente, un abrazoteUruk (Mensajes), 16:55 20 dic 2010 (UTC)
2. No_hallucination",,no_hallucination,one,gemma2,false_negative,1.2204280346632004
21,spa_Latn,eng_Latn,"La civilización del valle del Indo se desarrolló en la Edad del Bronce, en el subcontinente del noroeste de la India, que comprende la mayor parte del hoy territorio pakistaní y algunas zonas del noroeste indio y el noreste afgano.","The Indus Valley Civilization was developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India.","The Indus Valley Civilization was developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India.",1_No_hallucination,"1.  The civilization of the Indus Valley developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India. 

2_Small_hallucination","1.  The civilization of the Indus Valley developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India.",small_hallucination,one,gemma2,true_negative,0.5300646126270294
22,spa_Latn,eng_Latn,"Luego entonces, ¿tendría caso ponerme a discutir con toda esa gente, siendo que el artículo será modificado incluso antes de que yo lo haga?","Then there is the need to argue with all these people, since the article will be modified before I can do so.","Then there is the need to argue with all these people, since the article will be modified before I can do so.",1_No_hallucination,"1. Then there is the need to argue with all these people, since the article will be modified before I can do so. 
2. Partial_hallucination","1. Then there is the need to argue with all these people, since the article will be modified before I can do so.",partial_hallucination,one,gemma2,true_negative,1.3357016742229462
23,spa_Latn,eng_Latn,Esto se hace para garantizar que la imagen se despliegue en la pantalla completa. Esto se denomina sobreexploración.,This is done to ensure that the image is displayed on the full screen.,This is done to ensure that the image is displayed on the full screen.,1_No_hallucination,"1. This is done to ensure that the image is displayed on the full screen.  This is called overexposure. 

2_Small_hallucination",1. This is done to ensure that the image is displayed on the full screen.  This is called overexposure.,small_hallucination,one,gemma2,true_negative,0.7365387678146362
24,spa_Latn,eng_Latn,15px Kuí kuu-de Yavidaxiu Ka an- Que feo...,15px Kuí kuu-de Yavidaxiu Ka an- What ugly...,15px Kuí kuu-de Yavidaxiu Ka an- What ugly...,1_No_hallucination,"1.  15px Kuí kuu-de Yavidaxiu Ka an- What ugly... 
2. 3_Partial_hallucination 


**Explanation:**

The translation includes ""What ugly..."" as a hallucinated phrase, which is not present in the source sentence. It introduces unrelated information to the original Spanish text.",1.  15px Kuí kuu-de Yavidaxiu Ka an- What ugly...,partial_hallucination,one,gemma2,true_negative,1.2289230972528458
25,spa_Latn,eng_Latn,"Hacia fines del siglo XVIII, Camboya también sufrió invasiones vietnamitas.","Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.","Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.",1_No_hallucination,"1. Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.
2_No_hallucination","1. Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.",no_hallucination,one,gemma2,true_negative,0.3671244382858276
26,spa_Latn,eng_Latn,"Aparte de eso, nunca ha demostrado que pueda hacer freestyle con soltura y calidad, lo que hace poco creible la calidad de este MC","Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable.","Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable.",1_No_hallucination,"1. Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable. 

2_Small_hallucination","1. Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable.",small_hallucination,one,gemma2,true_negative,0.7716084271669388
27,spa_Latn,eng_Latn,"Por lo general, brindan mayor ancho de banda y mejor calidad de servicio. Están encriptados y, gracias a ello, es más complicado hackearlos.","They're encrypted and, thanks to that, it's more complicated to hack.","They're encrypted and, thanks to that, it's more complicated to hack.",1_No_hallucination,"1.  They're encrypted and, thanks to that, it's more complicated to hack. 
2. 1_No_hallucination","1.  They're encrypted and, thanks to that, it's more complicated to hack.",no_hallucination,one,gemma2,true_negative,0.6866401433944702
28,spa_Latn,eng_Latn,EXIGO EXPLICACIONES,Explanations are required,Explanations are required,1_No_hallucination,"1.  EXIGO EXPLICACIONES 
2. 1_No_hallucination",,no_hallucination,one,gemma2,true_negative,0.575100839138031
29,spa_Latn,eng_Latn,Es preciso contar con un permiso de travesía para poder acampar por debajo del borde del Gran Cañón.,You have to have a travel permit to camp below the rim of the Grand Canyon.,You have to have a travel permit to camp below the rim of the Grand Canyon.,1_No_hallucination,"1.  You have to have a travel permit to camp below the rim of the Grand Canyon. 
2. No_hallucination",1.  You have to have a travel permit to camp below the rim of the Grand Canyon.,no_hallucination,one,gemma2,true_negative,0.7915017455816269
30,spa_Latn,eng_Latn,"La edicion es legitima, la seccion decia 1976 a 1978 pero su contenido se extendia a 1981. saludos atte 191.84.100.","The issue is legitimate, but the content of the report is limited to 191.8 million copies.","The issue is legitimate, but the content <<<of the report>>> is limited to 191.8 <<<million copies>>>.",3_Partial_hallucination,"1. The target sentence includes the following hallucinations:  <<<1976 a 1978 pero su contenido se extendia a 1981>>>

2. Partial_hallucination 


Let me know if you'd like to test with another example! 😊",,partial_hallucination,one,gemma2,false_negative,1.2629155814647677
31,spa_Latn,eng_Latn,Porque pone Sucesor: Wii 2 ?,Why do you think he's wearing a suitcase?,Why <<<do you think he's wearing a suitcase>>>?,4_Full_hallucination,"1. Porque pone Sucesor: Wii 2 ?
   <<<  Sucesor: Wii 2 >>> 

2. Small_hallucination",,small_hallucination,one,gemma2,false_negative,1.664655089378357
32,spa_Latn,eng_Latn,Un plato típico Hangi se prepara dentro de un hoyo caliente hecho en el suelo.,A typical Hangi dish is prepared inside a hot hole made in the ground.,A typical Hangi dish is prepared inside a hot hole made in the ground.,1_No_hallucination,"1. A typical Hangi dish is prepared inside a hot hole made in the ground.
2. No_hallucination",1. A typical Hangi dish is prepared inside a hot hole made in the ground.,no_hallucination,one,gemma2,true_negative,0.7059355080127716
33,spa_Latn,eng_Latn,Los submarinos alemanes se denominaron U-Boote. Los alemanes eran muy buenos para la navegación y operación de sus submarinos.,"The German submarines were called U-boats, and the Germans were very good at navigating them.","The German submarines were called U-boats, and the Germans were very good at navigating them.",1_No_hallucination,"1.  The German submarines were called U-boats, and the Germans were very good at navigating them.

2_Small_hallucination 


Let me know if you have any other sentences you'd like me to evaluate!","1.  The German submarines were called U-boats, and the Germans were very good at navigating them.",small_hallucination,one,gemma2,true_negative,0.6310490369796753
34,spa_Latn,eng_Latn,Massa debe estar fuera durante al menos lo que resta de la temporada 2009.,Massa should be out for at least the remainder of the 2009 season.,Massa should be out for at least the remainder of the 2009 season.,1_No_hallucination,"1. Massa should be out for at least the remainder of the 2009 season.
2_Small_hallucination 


Let me know if you'd like to explore more translation examples!",1. Massa should be out for at least the remainder of the 2009 season.,small_hallucination,one,gemma2,true_negative,0.5991160571575165
35,spa_Latn,eng_Latn,"En la actualidad, los vientos de Fred alcanzan las 105 millas por hora (165 km/h) y se desplaza en dirección al noroeste.","Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward.","Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward.",1_No_hallucination,"1. Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward. 
2. No_hallucination","1. Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward.",no_hallucination,one,gemma2,true_negative,0.4612494111061096
36,spa_Latn,eng_Latn,"Si me dices que por ahora, las aguas están calmas, prefiero no hacer olas","If you tell me that for now, the waters are calm, I'd rather not wave","If you tell me that for now, the waters are calm, I'd rather not wave",1_No_hallucination,"1. If you tell me that for now, the waters are calm, I'd rather not wave 

2_Small_hallucination","1. If you tell me that for now, the waters are calm, I'd rather not wave",small_hallucination,one,gemma2,true_negative,1.3091726005077362
37,spa_Latn,eng_Latn,"Y en el siguiente párrafo se menciona la muerte fetal de su media hermana, y termina con En una entrevista con la revista Tú comentó que cuando tiene tiempo libre le gusta «pasear o simplemente caminar por ahí, también adoro ir de compras»","And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping","And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping",1_No_hallucination,"1. And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping 
2. Partial_hallucination","1. And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping",partial_hallucination,one,gemma2,true_negative,0.8446976542472839
38,spa_Latn,eng_Latn,pedazo de cabron no se como me vas a denunciar anda y vete a tomar por el culo mas valdria hicieses una enciclopedia mas veraz y no tantas admiraciones por asesinos de la historia ¿porque no tienes huevos de decir que carrillo fue un asesino ejecuto a mi abuelo en paracuellos solo por que iba a misa,I don't know how you're going to report me. Go ahead and get your ass kicked. You made a more truthful encyclopedia.,I don't know how you're going to report me. Go ahead and get your ass kicked. You made a more truthful encyclopedia.,1_No_hallucination,"1.  I don't know how you're going to report me. Go ahead and get your ass kicked.  You made a more truthful encyclopedia. 

2_Small_hallucination 


**Explanation:**

The translation includes ""Go ahead and get your ass kicked"" which is an invented phrase that doesn't appear in the original Spanish source sentence. While it's possible to interpret this as a poetic or figurative expression, its inclusion without context is indicative of potential hallucinated content.",1.  I don't know how you're going to report me. Go ahead and get your ass kicked.  You made a more truthful encyclopedia.,small_hallucination,one,gemma2,true_negative,1.9771048426628115
39,spa_Latn,eng_Latn,Mi opinión ha sido debidamente explicada.,My opinion has been duly explained.,My opinion has been duly explained.,1_No_hallucination,"1.  My opinion has been duly explained. 
2. No_hallucination",1.  My opinion has been duly explained.,no_hallucination,one,gemma2,true_negative,0.592220664024353
40,spa_Latn,eng_Latn,"Perdona Vos quien eres no te importa lo que haga Viva Argentinaaaaaaaaaaaaaa, PD bloquee mi ip seguire con el vandalismo y no lo sabras Jajajajajajaja Naña Ñaca Pd vandalle mas paginas","I don't care who you are, I'm going to kill you. I'm gonna kill you. You're going to kill me.","I don't care who you are, <<<I'm going to kill you. I'm gonna kill you. You're going to kill me>>>.",3_Partial_hallucination,"1. I don't care who you are, I'm going to kill you. I'm gonna kill you. You're going to kill me. <<< >

2_Small_hallucination 


**Explanation:**  The translation is a **partial hallucination**. While the translation attempts to capture some sentiment in the source sentence (e.g., ""you're going to kill me""), it introduces completely fabricated content (""I'm gonna kill you"") and lacks consistency with original meaning.","1. I don't care who you are, I'm going to kill you. I'm gonna kill you. You're going to kill me. <<< >",small_hallucination,one,gemma2,false_negative,2.168584942817688
41,spa_Latn,eng_Latn,Nunca,I never,<<<I>>> never,2_Small_hallucination,"1.  Nunca 
2.  No hallucination",,,one,gemma2,false_negative,1.4623170793056488
42,spa_Latn,eng_Latn,Te mando un gran abrazo.25px,I 'll give you a big hug .,I 'll give you a big hug .,1_No_hallucination,"1. I'll give you a big hug . 
2. No_hallucination",1. I'll give you a big hug .,no_hallucination,one,gemma2,true_negative,0.8567541241645813
43,spa_Latn,eng_Latn,"Fuego aliado eliminó, el 28 de junio, al mariscal Italo Balbo, gobernador general de Libia, y supuesto sucesor de Mussolini, durante su aterrizaje en Tobruk.","Allied fire killed, on 28 June, Marshal Italo Balbo, governor-general of Libya, and alleged successor of Mussolini, during his landing in Tobruk.","Allied fire killed, on 28 June, Marshal Italo Balbo, governor-general of Libya, and alleged successor of Mussolini, during his landing in Tobruk.",1_No_hallucination,"1. Fuego aliado eliminó, el 28 de junio, al mariscal Italo Balbo, gobernador general de Libia, y supuesto sucesor de Mussolini, durante su aterrizaje en Tobruk.

2_Small_hallucination 


**Explanation:**

The target sentence includes the ""Allied fire"" and ""alleged successor of Mussolini"", which introduces unrelated information not found in the source. These phrases are considered hallucinations as they are not part of the original sentence's meaning.",,small_hallucination,one,gemma2,true_negative,0.5428372919559479
44,spa_Latn,eng_Latn,Al Gore y el general Tommy Franks comentan rápidamente y de forma casual sus titulares preferidos (el de Gore fue cuando The Onion dijo que él y Tipper habían tenido el mejor sexo de sus vidas luego de ser vencidos en el Colegio Electoral del 2000).,"Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, such as ""The Onion"" and ""The Elephant in the Room"" and ""Gone With the Wind"".","Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, <<<such as>>> ""The Onion"" <<<and ""The Elephant in the Room"" and ""Gone With the Wind"">>>.",3_Partial_hallucination,"1.  Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, such as ""The Onion"" and ""The Elephant in the Room"" and ""Gone With the Wind"".
2. 3_Partial_hallucination","1.  Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, such as ""The Onion"" and ""The Elephant in the Room"" and ""Gone With the Wind"".",partial_hallucination,one,gemma2,false_negative,1.3275378048419952
45,spa_Latn,eng_Latn,"El deseo del creyente es una experiencia directa, sensación o apreciación de la realidad divina, del dios o deidades.","The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality.","The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality.",1_No_hallucination,"1. The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality. 

2. No_hallucination","1. The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality.",no_hallucination,one,gemma2,true_negative,0.7013717293739319
46,spa_Latn,eng_Latn,He notado que estás usando dos fotos en tu firma de usuario.,I noticed you're using two photos on your user signature.,I noticed you're using two photos on your user signature.,1_No_hallucination,"1.  I noticed you're using two photos on your user signature. <<< >>> 
2. No_hallucination",1.  I noticed you're using two photos on your user signature. <<< >>>,no_hallucination,one,gemma2,false_positive,0.6492105424404144
47,spa_Latn,eng_Latn,"> un rudeboy ERA (porque ya no existen, al menos, de los de verdad) un sicario de piel negra contratado por un productor de musica reggae de piel blanca para arruinarle la fiesta a otro productor.","I mean, I don't think it's a good idea, but it's not a bad idea, because I'm not a good person.","<<<I mean, I don't think it's a good idea, but it's not a bad idea, because I'm not a good person>>>.",4_Full_hallucination,"1.  I don't think it's a good idea, but it's not a bad idea, because I'm not a good person. 
2. 2_Small_hallucination 


**Explanation:**

The provided translation has the following hallucinated phrase: ""because I'm not a good person"".  It is a direct statement from the source sentence and relates to a complex concept about an individual's character that was not translated in the same manner, this is an example of a small halluinations.","1.  I don't think it's a good idea, but it's not a bad idea, because I'm not a good person.",small_hallucination,one,gemma2,false_negative,1.9417248368263245
48,spa_Latn,eng_Latn,El art. staba enlazado del art Trakhonas Kapısı en WP en turco.,The art. was linked from art Trakhonas Kapısı in WP in Turkish.,The art. was linked from art Trakhonas Kapısı in WP in Turkish.,1_No_hallucination,"1. The art. was linked from art Trakhonas Kapısı in WP in Turkish. 
2.  No_hallucination",1. The art. was linked from art Trakhonas Kapısı in WP in Turkish.,no_hallucination,one,gemma2,true_negative,1.3314243853092194
49,spa_Latn,eng_Latn,"Un abrazo, GuS - ¡Dialoguemos! 03:38 11 feb 2008 (UTC) Por cierto, ¿exageraciones mías?","A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?","A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?",1_No_hallucination,"1.  A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?
2. 2_Small_hallucination","1.  A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?",small_hallucination,one,gemma2,true_negative,0.7013626396656036
