src_lang,tgt_lang,src_text,mt_text,ground_truth_text,ground_truth_classification,raw_output
spa_Latn,eng_Latn,Me gustaría saber cuál es la fuente que indica que el sulfato de sodio sirva para acidulante.,I'd like to know what the source of the sodium sulfate is.,I'd like to know what the source of the sodium sulfate is.,1_No_hallucination,"1. I'd like to know what the source of the sodium sulfate is. <<< >>> 
2. No_hallucination"
spa_Latn,eng_Latn,"Exactamente a las 8:46 a. m., la ciudad se volvió silencio, marcando el preciso instante en el que el primer avión alcanzó su objetivo.","At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target.","At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target.",1_No_hallucination,"1. At exactly 8:46 a.m., the city became silent, marking the precise moment the first plane reached its target. <<< >>>
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"La verdad, como buen producto argentino, una mezcolanza de nombres destacados con personajes intrascendentes y de cuarta (futbolistas, Tristán, etc.).","The truth is, it's a good mix of names, and it's not a bad mix of names.","The truth is, it's a good mix of names, <<<and it's not a bad mix of names>>>.",3_Partial_hallucination,"1. The truth is, it's a good mix of names, and it's not a bad mix of names. <<< >>>
2. 2_Small_hallucination 


**Explanation:**

The translation only has minor changes in wording that introduce a new layer to the description (e.g., ""not a bad mix""). The original source sentence is quite subjective, and the translation doesn't introduce any extra information."
spa_Latn,eng_Latn,"Sinceramente no había pensado en ello, a mí no me sonó antinatural y la RAE no parece considerarlo un error.","I honestly didn't think about it, and I don't think it was a mistake.","I honestly didn't think about it, and I don't think it was a mistake.",1_No_hallucination,"1. I honestly didn't think about it, and I don't think it was a mistake. <<< >>> Sinceramente no había pensado en ello, a mí no me sonó antinatural y la RAE no parece considerarlo un error. 
2. 2_Small_hallucination"
spa_Latn,eng_Latn,Saludos.SRuizR 15px ¡Para servirles!,Greetings. We're here to serve you!,Greetings. We're here to serve you!,1_No_hallucination,"1. Greetings. We're here to serve you! <<< >>>
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"A la fecha de su deceso, aparte de haber sido medallista olímpico y mundial, Saito era director del comité de entrenamiento de la Federación de Judo japonesa.","At the time of his death, Saito was the world's longest-serving member of the Judo Federation.","At the time of his death, Saito was the world's longest-serving member of the Judo Federation.",1_No_hallucination,"1. At the time of his death, Saito was the world's longest-serving member of the Judo Federation. <<< >>>  
2. 3_Partial_hallucination 


**Explanation:**

The target sentence introduces information about the ""world's longest-serving member"" which is not explicitly stated in the source sentence. It creates a new detail that isn't present in the original text, leading to this classification as a partial hallucination."
spa_Latn,eng_Latn,"«Gracias por los que apoyaron a un convicto como yo», dijo Siriporn en una conferencia de prensa, según se lo citó.","""Thank you for supporting a convict like me"", said Siriporn in a press conference.","""Thank you for supporting a convict like me"", said Siriporn in a press conference.",1_No_hallucination,"1. ""Thank you for supporting a convict like me"", said Siriporn in a press conference, according to what was quoted. <<< >>>
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"Las familias con hijos son algo que no se ve frecuentemente, pero ciertos albergues los aceptan en cuartos privados.","Families with children don't get to see each other often, but they do get to know each other.","Families with children don't get to see each other often, <<<but they do get to know each other>>>.",3_Partial_hallucination,"1.  Families with children don't get to see each other often, but they do get to know each other. <<< >>> 
2. 1_No_hallucination 


**Explanation:**

The translation does not contain any hallucinations. The translated text accurately captures the meaning of the source sentence while maintaining a consistent tone and flow. It avoids introducing new information that contradicts or creates an illogical connection with the original content."
spa_Latn,eng_Latn,Saludos desde España.,Greetings from Spain.,Greetings from Spain.,1_No_hallucination,"1. Greetings from Spain. <<< >>>
2. 2_Small_hallucination"
spa_Latn,eng_Latn,Cada vez que retoques el articulo de etnografia de America latina lo voy a revertir y como insistas solicitaré tu bloqueo por racista,"Every time you touch a piece of Latin America, I'm going to turn it upside down.","Every time you touch a piece of Latin America, I'm going to turn it upside down.",1_No_hallucination,"1. Every time you touch a piece of Latin America, I'm going to turn it upside down. <<< >>> **Every time** you touch a piece of Latin America, I'm going to turn it upside down. 
2. 3_Partial_hallucination


**Explanation:**

The translation contains the hallucinated phrase ""I'm going to turn it upside down,"" which is not present in the original source sentence and introduces an unrelated concept or suggestion.  This action of turning something upside down does not directly translate from the Spanish text, but suggests a different meaning."
spa_Latn,eng_Latn,"Cordialmente, un abrazoteUruk (Mensajes), 16:55 20 dic 2010 (UTC)",A warm welcome from Mr. and Mrs. O'Brien.,<<<A warm welcome from Mr. and Mrs. O'Brien.>>>,4_Full_hallucination,"1.  Cordialmente, un abrazo Uruk (Mensajes), 16:55 20 dic 2010 (UTC) <<< >>>
2. No_hallucination"
spa_Latn,eng_Latn,"La civilización del valle del Indo se desarrolló en la Edad del Bronce, en el subcontinente del noroeste de la India, que comprende la mayor parte del hoy territorio pakistaní y algunas zonas del noroeste indio y el noreste afgano.","The Indus Valley Civilization was developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India.","The Indus Valley Civilization was developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India.",1_No_hallucination,"1. The Indus Valley Civilization was developed in the Bronze Age, in the Indian subcontinent, which comprises most of present-day Pakistan and some parts of northern India. <<< >>>
2. 1_No_hallucination 


Let me know if you would like to test another sentence!"
spa_Latn,eng_Latn,"Luego entonces, ¿tendría caso ponerme a discutir con toda esa gente, siendo que el artículo será modificado incluso antes de que yo lo haga?","Then there is the need to argue with all these people, since the article will be modified before I can do so.","Then there is the need to argue with all these people, since the article will be modified before I can do so.",1_No_hallucination,"1. Luego entonces, ¿tendría caso ponerme a discutir con toda esa gente, siendo que el artículo será modificado incluso antes de que yo lo haga? <<<  Then there is the need to argue with all these people, since the article will be modified before I can do so.
2. 2_Small_hallucination"
spa_Latn,eng_Latn,Esto se hace para garantizar que la imagen se despliegue en la pantalla completa. Esto se denomina sobreexploración.,This is done to ensure that the image is displayed on the full screen.,This is done to ensure that the image is displayed on the full screen.,1_No_hallucination,"1. This is done to ensure that the image is displayed on the full screen. <<<  sobreexploración >> 
2. No_hallucination"
spa_Latn,eng_Latn,15px Kuí kuu-de Yavidaxiu Ka an- Que feo...,15px Kuí kuu-de Yavidaxiu Ka an- What ugly...,15px Kuí kuu-de Yavidaxiu Ka an- What ugly...,1_No_hallucination,"1. 15px Kuí kuu-de Yavidaxiu Ka an- What ugly...
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"Hacia fines del siglo XVIII, Camboya también sufrió invasiones vietnamitas.","Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.","Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions.",1_No_hallucination,"1. Towards the end of the 18th century, Cambodia also suffered Vietnamese invasions. <<< >>>
2. 2_Small_hallucination 


**Explanation:**

The provided target sentence accurately captures the meaning of the source sentence while maintaining a consistent flow and style.  ""Vietnamese invasions"" is a direct translation and doesn't introduce new information or invent content not present in the source sentence."
spa_Latn,eng_Latn,"Aparte de eso, nunca ha demostrado que pueda hacer freestyle con soltura y calidad, lo que hace poco creible la calidad de este MC","Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable.","Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable.",1_No_hallucination,"1. Other than that, he's never proven that he can freestyle with fluidity and quality, which makes the quality of this MC unreliable. <<< >>> 
2. 3_Partial_hallucination 


**Explanation:**

There are three sentences in the source text which do not correspond to the target sentence:  ""Aparte de eso, nunca ha demostrado que pueda hacer freestyle con soltura y calidad"". 
 
The ""freestyle"" and ""soltura y calidad"" are invented terms. However, the translation itself does not completely change the meaning of the sentences in a way that would be considered a hallucination as only small parts of the original text have been changed or altered.

**Therefore, I classify the hallucinations as ""Partial Hallucination.""**"
spa_Latn,eng_Latn,"Por lo general, brindan mayor ancho de banda y mejor calidad de servicio. Están encriptados y, gracias a ello, es más complicado hackearlos.","They're encrypted and, thanks to that, it's more complicated to hack.","They're encrypted and, thanks to that, it's more complicated to hack.",1_No_hallucination,"1. They're encrypted and, thanks to that, it's more complicated to hack. <<< >>> 
2. 2_Small_hallucination 


**Explanation:**

The target sentence contains only one word ( ""complicated"") which is not hallucinated from the source. The translation uses the same wording in a more concise form.  It does so without introducing entirely new information, thus fitting into the ""small hallucination"" category."
spa_Latn,eng_Latn,EXIGO EXPLICACIONES,Explanations are required,Explanations are required,1_No_hallucination,"1. Explanations are required <<< 
2. 1_No_hallucination"
spa_Latn,eng_Latn,Es preciso contar con un permiso de travesía para poder acampar por debajo del borde del Gran Cañón.,You have to have a travel permit to camp below the rim of the Grand Canyon.,You have to have a travel permit to camp below the rim of the Grand Canyon.,1_No_hallucination,"1. You have to have a travel permit to camp below the rim of the Grand Canyon. <<< >>> 
2. 2_Small_hallucination 


**Explanation:**

The translation accurately reflects the meaning of the source sentence. The addition ""You have to"" and ""below the rim of"" are not present in the original Spanish, suggesting a slight alteration for better flow or clarity in English. However, this change does not create false information or introduce anything not explicitly stated in the source."
spa_Latn,eng_Latn,"La edicion es legitima, la seccion decia 1976 a 1978 pero su contenido se extendia a 1981. saludos atte 191.84.100.","The issue is legitimate, but the content of the report is limited to 191.8 million copies.","The issue is legitimate, but the content <<<of the report>>> is limited to 191.8 <<<million copies>>>.",3_Partial_hallucination,"1. The issue is legitimate, but the content of the report is limited to 1976 to 1978 but its content se extended to 1981. <<< >>>
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,Porque pone Sucesor: Wii 2 ?,Why do you think he's wearing a suitcase?,Why <<<do you think he's wearing a suitcase>>>?,4_Full_hallucination,"1. Why do you think he's wearing a suitcase? <<< >>> 
2. No_hallucination"
spa_Latn,eng_Latn,Un plato típico Hangi se prepara dentro de un hoyo caliente hecho en el suelo.,A typical Hangi dish is prepared inside a hot hole made in the ground.,A typical Hangi dish is prepared inside a hot hole made in the ground.,1_No_hallucination,"1. A typical Hangi dish is prepared inside a hot hole made in the ground. <<< >>>
2. 2_Small_hallucination"
spa_Latn,eng_Latn,Los submarinos alemanes se denominaron U-Boote. Los alemanes eran muy buenos para la navegación y operación de sus submarinos.,"The German submarines were called U-boats, and the Germans were very good at navigating them.","The German submarines were called U-boats, and the Germans were very good at navigating them.",1_No_hallucination,"1. The German submarines were called U-boats, and the Germans were very good at navigating them. <<< >>>  

2. 2_Small_hallucination"
spa_Latn,eng_Latn,Massa debe estar fuera durante al menos lo que resta de la temporada 2009.,Massa should be out for at least the remainder of the 2009 season.,Massa should be out for at least the remainder of the 2009 season.,1_No_hallucination,"1. Massa should be out for at least the remainder of the 2009 season. <<< >>> 
2. No_hallucination"
spa_Latn,eng_Latn,"En la actualidad, los vientos de Fred alcanzan las 105 millas por hora (165 km/h) y se desplaza en dirección al noroeste.","Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward.","Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward.",1_No_hallucination,"1. Currently, Fred's winds reach 105 miles per hour (165 km/h) and move northwestward. <<< >>>
2.  2_Small_hallucination"
spa_Latn,eng_Latn,"Si me dices que por ahora, las aguas están calmas, prefiero no hacer olas","If you tell me that for now, the waters are calm, I'd rather not wave","If you tell me that for now, the waters are calm, I'd rather not wave",1_No_hallucination,"1. If you tell me that for now, the waters are calm, I'd rather not wave <<< >>>
2. 2_Small_hallucination 


**Explanation:**

The target sentence contains ""I'd rather not wave"" which is a fabricated phrase related to ""not making waves."" This introduction of an unrelated idea constitutes a small hallucination.  The translation accurately captures the meaning but introduces an invented statement."
spa_Latn,eng_Latn,"Y en el siguiente párrafo se menciona la muerte fetal de su media hermana, y termina con En una entrevista con la revista Tú comentó que cuando tiene tiempo libre le gusta «pasear o simplemente caminar por ahí, también adoro ir de compras»","And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping","And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping",1_No_hallucination,"1. And the next paragraph mentions the fetal death of his half-sister, and it ends with In an interview with the magazine you commented that when you have free time you like to go for a walk or just walk around, I also love shopping <<< 
2. Partial_hallucination"
spa_Latn,eng_Latn,pedazo de cabron no se como me vas a denunciar anda y vete a tomar por el culo mas valdria hicieses una enciclopedia mas veraz y no tantas admiraciones por asesinos de la historia ¿porque no tienes huevos de decir que carrillo fue un asesino ejecuto a mi abuelo en paracuellos solo por que iba a misa,I don't know how you're going to report me. Go ahead and get your ass kicked. You made a more truthful encyclopedia.,I don't know how you're going to report me. Go ahead and get your ass kicked. You made a more truthful encyclopedia.,1_No_hallucination,"1.  I don't know how you're going to report me. Go ahead and get your ass kicked. You made a more truthful encyclopedia. <<< >>> 
2. 4_Full_hallucination"
spa_Latn,eng_Latn,Mi opinión ha sido debidamente explicada.,My opinion has been duly explained.,My opinion has been duly explained.,1_No_hallucination,"1. My opinion has been duly explained. <<<  >>>
2. No_hallucination"
spa_Latn,eng_Latn,"Perdona Vos quien eres no te importa lo que haga Viva Argentinaaaaaaaaaaaaaa, PD bloquee mi ip seguire con el vandalismo y no lo sabras Jajajajajajaja Naña Ñaca Pd vandalle mas paginas","I don't care who you are, I'm going to kill you. I'm gonna kill you. You're going to kill me.","I don't care who you are, <<<I'm going to kill you. I'm gonna kill you. You're going to kill me>>>.",3_Partial_hallucination,"1. I don't care who you are, I'm going to kill you. I'm gonna kill you. You're going to kill me. <<<  Kill you, I'm going to kill you>>> 
2. Full_hallucination 


**Explanation:**

The target sentence contains phrases that are not present in the source sentence. These sentences introduce completely fabricated information (""I'm gonna kill you"" and ""You're going to kill me""), which suggests a significant deviation from the intended meaning of the source text."
spa_Latn,eng_Latn,Nunca,I never,<<<I>>> never,2_Small_hallucination,"1.  I never
2. 1_No_hallucination"
spa_Latn,eng_Latn,Te mando un gran abrazo.25px,I 'll give you a big hug .,I 'll give you a big hug .,1_No_hallucination,"1. I 'll give you a big hug . <<< >>>
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"Fuego aliado eliminó, el 28 de junio, al mariscal Italo Balbo, gobernador general de Libia, y supuesto sucesor de Mussolini, durante su aterrizaje en Tobruk.","Allied fire killed, on 28 June, Marshal Italo Balbo, governor-general of Libya, and alleged successor of Mussolini, during his landing in Tobruk.","Allied fire killed, on 28 June, Marshal Italo Balbo, governor-general of Libya, and alleged successor of Mussolini, during his landing in Tobruk.",1_No_hallucination,"1. Allied fire killed, on 28 June, Marshal Italo Balbo, governor-general of Libya, and alleged successor of Mussolini, during his landing in Tobruk. <<< >>>
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,Al Gore y el general Tommy Franks comentan rápidamente y de forma casual sus titulares preferidos (el de Gore fue cuando The Onion dijo que él y Tipper habían tenido el mejor sexo de sus vidas luego de ser vencidos en el Colegio Electoral del 2000).,"Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, such as ""The Onion"" and ""The Elephant in the Room"" and ""Gone With the Wind"".","Al Gore and General Tommy Franks are quick and casual to comment on their favorite titles, <<<such as>>> ""The Onion"" <<<and ""The Elephant in the Room"" and ""Gone With the Wind"">>>.",3_Partial_hallucination,"1. Al Gore y el general Tommy Franks comentan rápidamente y de forma casual sus titulares preferidos (el de Gore fue cuando The Onion dijo que él y Tipper habían tenido el mejor sexo de sus vidas luego de ser vencidos en el Colegio Electoral del 2000). <<< >>> ""The Onion"" and ""Gone With the Wind"".
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,"El deseo del creyente es una experiencia directa, sensación o apreciación de la realidad divina, del dios o deidades.","The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality.","The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality.",1_No_hallucination,"1. The desire of the believer is a direct experience, a feeling, or an appreciation of the divine reality. <<< >>>  
2. No_hallucination"
spa_Latn,eng_Latn,He notado que estás usando dos fotos en tu firma de usuario.,I noticed you're using two photos on your user signature.,I noticed you're using two photos on your user signature.,1_No_hallucination,"1. I noticed you're using two photos on your user signature. <<< >>> 
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"> un rudeboy ERA (porque ya no existen, al menos, de los de verdad) un sicario de piel negra contratado por un productor de musica reggae de piel blanca para arruinarle la fiesta a otro productor.","I mean, I don't think it's a good idea, but it's not a bad idea, because I'm not a good person.","<<<I mean, I don't think it's a good idea, but it's not a bad idea, because I'm not a good person>>>.",4_Full_hallucination,"1. I mean, I don't think it's a good idea, but it's not a bad idea, because I'm not a good person. 
2. 2_Small_hallucination"
spa_Latn,eng_Latn,El art. staba enlazado del art Trakhonas Kapısı en WP en turco.,The art. was linked from art Trakhonas Kapısı in WP in Turkish.,The art. was linked from art Trakhonas Kapısı in WP in Turkish.,1_No_hallucination,"1. The art. was linked from art Trakhonas Kapısı in WP in Turkish. <<< >>> 
2. 2_Small_hallucination 


**Explanation:**

The translation accurately captures the essence of the source sentence.  However, ""The art. was linked from"" and ""in WP in Turkish"" contain invented information that is not present in the source (which is a list of elements). These phrases introduce additional information that does not correspond to the original text."
spa_Latn,eng_Latn,"Un abrazo, GuS - ¡Dialoguemos! 03:38 11 feb 2008 (UTC) Por cierto, ¿exageraciones mías?","A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?","A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations?",1_No_hallucination,"1. A hug, GuS - Let's talk! 03:38 11 February 2008 (UTC) By the way, my exaggerations? <<<  
2. 2_Small_hallucination"
spa_Latn,eng_Latn,"Las distintas construcciones tienen diferentes capacidades, son susceptibles de tener distintas longitudes y grados de agudeza; también requieren un procesamiento diferenciado para dar sentido a la entrada y números disímiles para que funcionen de forma óptima.","Different constructions have different capabilities, but they also require a different level of detail to ensure that they are functioning properly and that they are not disrupted by lightning strikes.","Different constructions have different capabilities, <<<but they also require a different level of detail>>> to <<<ensure>>> that they are functioning properly <<<and that they are not disrupted by lightning strikes>>>.",3_Partial_hallucination,"1. Different constructions have different capabilities, but they also require a different level of detail to ensure that they are functioning properly and that they are not disrupted by lightning strikes. <<< >>> 
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,Consulte los viajes promocionados por el agente. Puede hacerlo en una página web tanto como en el escaparate de un negocio.,"You can do this on a website as well as in a shop window, if you like.","You can do this on a website as well as in a shop window, <<<if you like>>>.",3_Partial_hallucination,"1.  You can do this on a website as well as in a shop window, if you like. <<< >>> 
2.  2_Small_hallucination 


**Explanation:**

The target sentence includes only one small hallucinated phrase: ""if you like"". This is an addition that doesn't directly correspond to the source and introduces unrelated information."
spa_Latn,eng_Latn,NO,It 's not .,<<<It 's>>> not .,2_Small_hallucination,"1. It 's not . 
2. 2_Small_hallucination"
spa_Latn,eng_Latn,Víctor Gevirtz 22:42 03/07/07,"It's not just me, it's me.","<<<It's not just me, it's me>>>.",4_Full_hallucination,"1. It's not just me, it's me. <<< >>>
2. 2_Small_hallucination 


**Explanation:**

* The target sentence introduces the statement ""It's not just me"" which doesn't correspond to any information from the source sentence (Víctor Gevirtz 22:42 03/07/07). The phrase ""it's me""  is an invented element."
spa_Latn,eng_Latn,¿Habría que archivar en listas diferentes los que fueron creados y los que no pasaron de la propuesta?,Shouldn't we have to file a separate list of those who did and those who didn't?,Shouldn't we <<<have to>>> file a separate list of those who did and those who didn't?,2_Small_hallucination,"1. Shouldn't we have to file a separate list of those who did and those who didn't? <<< >>> 
2. 2_Small_hallucination 


**Explanation:** 

The target sentence only introduces the idea of ""separate lists"" for created items and those that failed the proposal, but doesn't introduce any invented information."
spa_Latn,eng_Latn,"Recursos naturales: Carbón, petróleo, gas natural, estaño, piedra caliza, hierro, sal (condimento), sal, arcilla, plomo, avena, cebada, lúpulo, patatas, remolacha, azúcar, tomates y trigo.","Natural resources: coal, oil and natural gas, coal, iron ore, coal ores, natural gas, oilseeds, ores and other petroleum-derived commodities.","Natural resources: coal, oil and natural gas, coal, iron ore, coal ores, <<<natural gas, oilseeds, ores and other petroleum-derived commodities>>>.",3_Partial_hallucination,"1. Natural resources: coal, oil and natural gas, coal, iron ore, clay, lead, oats, barley, hops, potatoes, beets, sugar, tomatoes and wheat. <<< >>> **oilseeds, ores and other petroleum-derived commodities** 
2. Partial_hallucination"
spa_Latn,eng_Latn,me dices porque te dedicas a borrar a la gente lo q ace???si no tienes nada q acer o te buscas amigos o trabaja o a algo de provexo xro deja de dar x kulo a la gente!,"Tell me why you're trying to get rid of people, if you don't have them, or if you're looking for friends, you can't get rid of them.","Tell me why you're trying to get rid of people, if you don't have <<<them>>>, or if you're looking for friends, <<<you can't get rid of them>>>.",3_Partial_hallucination,"1.  Tell me why you're trying to get rid of people, if you don't have them, or if you're looking for friends, you can't get rid of them. <<< >>>  **""lo q ace???si no tienes nada q acer o te buscas amigos o trabaja o a algo de provexo xro deja de dar x kulo a la gente!""**
2. 3_Partial_hallucination"
spa_Latn,eng_Latn,"Hay botas con tachuelas y existe un accesorio adicional con tachuelas para condiciones resbaladizas, que se adapta a casi cualquier calzado, tanto para los tacones como para la suela.","There are slippery boots and there is an additional slippery accessory, which is suitable for almost any shoe, both heels and sole.","There are <<<slippery>>> boots and there is an additional slippery accessory, which is suitable for almost any shoe, both heels and sole.",2_Small_hallucination,"1. There are slippery boots and there is an additional slippery accessory, which is suitable for almost any shoe, both heels and sole. <<< >>> 
2. 3_Partial_hallucination 


**Explanation:**

While the translation is generally accurate, it introduces ""an additional slippery accessory"" which is not explicitly mentioned in the source sentence. The addition of this phrase is a creative interpretation that does not directly correspond to the source."
